Entry	Entry Name	Gene Names	Length	EC number	Gene Ontology IDs
P02921	MELB_ECOLI	melB mel-4 b4120 JW4081	473		GO:0005886; GO:0015487; GO:0015592; GO:0015765; GO:0015769; GO:0043887; GO:0071702
P02925	RBSB_ECOLI	rbsB prlB rbsP b3751 JW3730	296		GO:0015752; GO:0016020; GO:0030288; GO:0048029; GO:0050918; GO:0055052
P02929	TONB_ECOLI	tonB exbA b1252 JW5195	239		GO:0005886; GO:0006879; GO:0009279; GO:0015031; GO:0015889; GO:0015891; GO:0016020; GO:0019904; GO:0030003; GO:0030288; GO:0030313; GO:0031992; GO:0042914; GO:0055085; GO:0098002; GO:0098797; GO:1902495
P02930	TOLC_ECOLI	tolC colE1-i mtcB mukA refI toc weeA b3035 JW5503	493		GO:0005216; GO:0009279; GO:0009410; GO:0009636; GO:0014070; GO:0015125; GO:0015288; GO:0015562; GO:0015721; GO:0016020; GO:0030288; GO:0034220; GO:0042802; GO:0042930; GO:0046677; GO:0098567; GO:0140330; GO:1990196; GO:1990281; GO:1990961
P02931	OMPF_ECOLI	ompF cmlB coa cry tolF b0929 JW0912	362		GO:0001530; GO:0005216; GO:0008289; GO:0009279; GO:0015288; GO:0016020; GO:0034220; GO:0034702; GO:0042802; GO:0042912; GO:0046930; GO:0070207; GO:0097718
P02942	MCP1_ECOLI	tsr cheD b4355 JW4318	551		GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0007172; GO:0009593; GO:0032110; GO:0042802; GO:0043113; GO:0048870; GO:0050920; GO:0071230; GO:0098561; GO:1902021
P02943	LAMB_ECOLI	lamB malB b4036 JW3996	446		GO:0001618; GO:0006811; GO:0006974; GO:0009279; GO:0015144; GO:0015288; GO:0015481; GO:0015774; GO:0042956; GO:0042958; GO:0046930
P03004	DNAA_ECOLI	dnaA b3702 JW3679	467		GO:0003677; GO:0003688; GO:0005524; GO:0005829; GO:0005886; GO:0006260; GO:0006268; GO:0006270; GO:0006275; GO:0009898; GO:0016887; GO:0030174; GO:0032297; GO:0032298; GO:0042802; GO:0043565; GO:1990078; GO:1990082; GO:1990084; GO:1990101; GO:1990102; GO:1990103
P03007	DPO3E_ECOLI	dnaQ mutD b0215 JW0205	243	2.7.7.7	GO:0003677; GO:0003887; GO:0004527; GO:0005829; GO:0006261; GO:0006272; GO:0006273; GO:0008408; GO:0009360; GO:0030894; GO:0044776; GO:0045004; GO:0046872
P03018	UVRD_ECOLI	uvrD mutU pdeB rad recL b3813 JW3786	720	5.6.2.4	GO:0000717; GO:0000725; GO:0003677; GO:0003678; GO:0005524; GO:0005829; GO:0006268; GO:0006289; GO:0006298; GO:0009314; GO:0009432; GO:0015616; GO:0016853; GO:0016887; GO:0017116; GO:0017117; GO:0031297; GO:0032508; GO:0033202; GO:0042803; GO:0043138; GO:0070581; GO:0070716
P03023	LACI_ECOLI	lacI b0345 JW0336	360		GO:0000976; GO:0000987; GO:0001217; GO:0003700; GO:0005829; GO:0006355; GO:0042802; GO:0045892
P03819	KEFC_ECOLI	kefC trkC b0047 JW0046	620		GO:0000166; GO:0005886; GO:0006813; GO:0006885; GO:0009636; GO:0015297; GO:0015503; GO:0015643; GO:0016020; GO:0019899; GO:0042542; GO:0042803; GO:0051453; GO:0051454; GO:0051595; GO:1902600; GO:1903103
P03959	KDPA_ECOLI	kdpA b0698 JW0686	557		GO:0005886; GO:0006813; GO:0008556; GO:0030955; GO:0031004; GO:0071805; GO:0098655; GO:1903103
P03960	KDPB_ECOLI	kdpB b0697 JW0685	682	7.2.2.6	GO:0000287; GO:0005524; GO:0005886; GO:0006813; GO:0008556; GO:0016887; GO:0031004; GO:0071805; GO:0098655; GO:1903103
P03961	KDPC_ECOLI	kdpC b0696 JW0684	190		GO:0005524; GO:0005886; GO:0006813; GO:0008556; GO:0031004; GO:0071805; GO:0098655; GO:1903103
P04036	DAPB_ECOLI	dapB b0031 JW0029	273	1.17.1.8	GO:0005829; GO:0008652; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0042802; GO:0050661; GO:0051287
P04079	GUAA_ECOLI	guaA b2507 JW2491	525	6.3.5.2	GO:0003921; GO:0003922; GO:0005524; GO:0005829; GO:0006177; GO:0006541; GO:0042802
P04152	UMUC_ECOLI	umuC b1184 JW1173	422		GO:0003684; GO:0003697; GO:0003887; GO:0005886; GO:0006974; GO:0008094; GO:0009355; GO:0009432; GO:0016020; GO:0019985; GO:0042276
P04391	OTC1_ECOLI	argI b4254 JW4211	334	2.1.3.3	GO:0004585; GO:0005737; GO:0016597; GO:0019240; GO:0042450; GO:0046872
P04395	3MG2_ECOLI	alkA aidA b2068 JW2053	282	3.2.2.21	GO:0003905; GO:0005737; GO:0006281; GO:0006284; GO:0006285; GO:0006307; GO:0006974; GO:0008725; GO:0032131; GO:0032993; GO:0043916; GO:0052821; GO:0052822
P04425	GSHB_ECOLI	gshB gsh-II b2947 JW2914	316	6.3.2.3	GO:0000287; GO:0004363; GO:0005524; GO:0005737; GO:0005829; GO:0006750; GO:0042802; GO:0051289
P04693	TYRB_ECOLI	tyrB b4054 JW4014	397	2.6.1.107; 2.6.1.57	GO:0004838; GO:0005737; GO:0005829; GO:0006532; GO:0008793; GO:0009098; GO:0019292; GO:0030170; GO:0033585; GO:0042802; GO:0042803; GO:0050048; GO:0080130
P04805	SYE_ECOLI	gltX b2400 JW2395	471	6.1.1.17	GO:0000049; GO:0004818; GO:0005524; GO:0005829; GO:0006424; GO:0008270
P04825	AMPN_ECOLI	pepN b0932 JW0915	870	3.4.11.2	GO:0004177; GO:0005886; GO:0006508; GO:0008237; GO:0008270; GO:0042802
P04968	ILVA_ECOLI	ilvA b3772 JW3745	514	4.3.1.19	GO:0003941; GO:0004794; GO:0006565; GO:0006566; GO:0006567; GO:0009082; GO:0009097; GO:0016597; GO:0030170
P04982	RBSD_ECOLI	rbsD b3748 JW5857	139	5.4.99.62	GO:0005829; GO:0016866; GO:0016872; GO:0019303; GO:0042802; GO:0048029; GO:0062193
P04983	RBSA_ECOLI	rbsA b3749 JW3728	501	7.5.2.7	GO:0005524; GO:0015407; GO:0015591; GO:0015611; GO:0015752; GO:0016020; GO:0016887; GO:0043190; GO:0055052
P04993	RECD_ECOLI	recD hopE b2819 JW2787	608	3.1.11.5	GO:0000724; GO:0000725; GO:0003677; GO:0004386; GO:0005524; GO:0006310; GO:0006974; GO:0008854; GO:0009338; GO:0016887; GO:0017116
P04994	EX7L_ECOLI	xseA b2509 JW2493	456	3.1.11.6	GO:0003677; GO:0005737; GO:0006298; GO:0006308; GO:0008855; GO:0009318
P04995	EX1_ECOLI	sbcB cpeA xonA b2011 JW1993	475	3.1.11.1	GO:0000175; GO:0000287; GO:0003697; GO:0006281; GO:0006308; GO:0008310; GO:0051575
P05020	PYRC_ECOLI	pyrC b1062 JW1049	348	3.5.2.3	GO:0004151; GO:0005737; GO:0005829; GO:0006207; GO:0006221; GO:0008270; GO:0042803; GO:0044205
P05041	PABB_ECOLI	pabB b1812 JW1801	453	2.6.1.85	GO:0000162; GO:0000287; GO:0008153; GO:0009356; GO:0046654; GO:0046656; GO:0046820; GO:0046982; GO:0120284
P05042	FUMC_ECOLI	fumC b1611 JW1603	467	4.2.1.2	GO:0004333; GO:0006099; GO:0006106; GO:0006108; GO:0006979; GO:0042802; GO:0045239
P05050	ALKB_ECOLI	alkB aidD b2212 JW2200	216	1.14.11.33	GO:0005737; GO:0006281; GO:0006307; GO:0008198; GO:0035513; GO:0035515; GO:0035516; GO:0035552; GO:0035553; GO:0042245; GO:0043734; GO:0051213; GO:0070989; GO:0072702; GO:0080111
P05055	PNP_ECOLI	pnp b3164 JW5851	711	2.7.7.8	GO:0000175; GO:0000287; GO:0003723; GO:0004654; GO:0005829; GO:0006396; GO:0006401; GO:0006402; GO:0009408; GO:0016020; GO:0035438; GO:0042802; GO:1990061
P05194	AROD_ECOLI	aroD b1693 JW1683	252	4.2.1.10	GO:0003855; GO:0005829; GO:0008652; GO:0009073; GO:0009423; GO:0042803; GO:0046279
P05458	PTRA_ECOLI	ptrA ptr b2821 JW2789	962	3.4.24.55	GO:0004222; GO:0005737; GO:0006508; GO:0008270; GO:0030288
P05523	FPG_ECOLI	mutM fpg b3635 JW3610	269	3.2.2.23; 4.2.99.18	GO:0000703; GO:0003684; GO:0003906; GO:0004519; GO:0005737; GO:0006284; GO:0006974; GO:0008270; GO:0008534; GO:0019104; GO:0034039; GO:0046872; GO:0140078
P05637	APAH_ECOLI	apaH b0049 JW0048	280	3.6.1.41	GO:0005737; GO:0008796; GO:0008803; GO:0010165; GO:0015949; GO:0016791; GO:0110154
P05704	MCP3_ECOLI	trg b1421 JW1417	546		GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0042803; GO:0098561
P05791	ILVD_ECOLI	ilvD b3771 JW5605	616	4.2.1.9	GO:0000287; GO:0004160; GO:0005829; GO:0009097; GO:0009099; GO:0016836; GO:0051536; GO:0051537; GO:0051539
P05793	ILVC_ECOLI	ilvC b3774 JW3747	491	1.1.1.86	GO:0000287; GO:0004455; GO:0005829; GO:0008677; GO:0009097; GO:0009099; GO:0015940; GO:0032991; GO:0042802; GO:0050661
P05804	BGLR_ECOLI	uidA gurA gusA b1617 JW1609	603	3.2.1.31	GO:0004566; GO:0005829; GO:0005975; GO:0019391; GO:0030246; GO:0032991; GO:0042802
P05824	RECN_ECOLI	recN radB b2616 JW5416	553		GO:0000725; GO:0005524; GO:0005829; GO:0006302; GO:0006974; GO:0009314; GO:0009411; GO:0009432; GO:0010165; GO:0010212; GO:0036298; GO:0043590
P05825	FEPA_ECOLI	fepA fep feuB b0584 JW5086	746		GO:0006879; GO:0009279; GO:0015344; GO:0015620; GO:0015685; GO:0016020; GO:0019904; GO:0022834; GO:0030313; GO:0033214; GO:0038023; GO:0042912; GO:0042914; GO:0042930; GO:0042931; GO:0044718; GO:1902495; GO:1903981
P05852	TSAD_ECOLI	tsaD gcp ygjD b3064 JW3036	337	2.3.1.234	GO:0000287; GO:0000408; GO:0002949; GO:0005506; GO:0005829; GO:0042802; GO:0061711; GO:0140032; GO:1990145
P06129	BTUB_ECOLI	btuB bfe cer dcrC b3966 JW3938	614		GO:0005509; GO:0009279; GO:0015288; GO:0015420; GO:0015889; GO:0016020; GO:0019904; GO:0034220; GO:0046930; GO:1902495
P06134	ADA_ECOLI	ada b2213 JW2201	354	2.1.1.63; 2.1.1.n11	GO:0003700; GO:0003908; GO:0006307; GO:0006974; GO:0008270; GO:0032259; GO:0043565; GO:0045892; GO:0045893; GO:0080111
P06136	FTSQ_ECOLI	ftsQ b0093 JW0091	276		GO:0000917; GO:0005886; GO:0032153; GO:0042802; GO:0043093; GO:0051301; GO:1990586; GO:1990587
P06149	DLD_ECOLI	dld b2133 JW2121	571	1.1.5.12	GO:0005886; GO:0009055; GO:0009060; GO:0009061; GO:0009898; GO:0016901; GO:0019516; GO:0022904; GO:0031234; GO:0048038; GO:0050660; GO:0055085; GO:0071949; GO:0102029
P06609	BTUC_ECOLI	btuC b1711 JW1701	326		GO:0005886; GO:0015420; GO:0015889; GO:0016020; GO:0022857; GO:0042802; GO:0043190; GO:1990191; GO:1990193
P06611	BTUD_ECOLI	btuD b1709 JW1699	249	7.6.2.8	GO:0005524; GO:0015420; GO:0015889; GO:0016020; GO:0016887; GO:0019898; GO:0042626; GO:0043190; GO:1990191; GO:1990193
P06612	TOP1_ECOLI	topA supX b1274 JW1266	865	5.6.2.1	GO:0003677; GO:0003916; GO:0003917; GO:0005694; GO:0005829; GO:0006265; GO:0046872
P06616	ERA_ECOLI	era rbaA sdgE b2566 JW2550	301		GO:0000028; GO:0003723; GO:0003924; GO:0005525; GO:0005737; GO:0005829; GO:0005886; GO:0006468; GO:0019843; GO:0042274; GO:0043024; GO:0070181; GO:0097216
P06709	BIRA_ECOLI	birA bioR dhbB b3973 JW3941	321	6.3.4.15	GO:0000976; GO:0003676; GO:0003677; GO:0004077; GO:0005524; GO:0005737; GO:0006355; GO:0006768; GO:0009102; GO:0009374; GO:0017053; GO:0036211; GO:0042803
P06710	DPO3X_ECOLI	dnaX dnaZ dnaZX b0470 JW0459	643	2.7.7.7	GO:0003677; GO:0003887; GO:0005524; GO:0006260; GO:0006261; GO:0009360; GO:0016887; GO:0017111; GO:0030337; GO:0030894; GO:0042802; GO:0043846
P06715	GSHR_ECOLI	gor b3500 JW3467	450	1.8.1.7	GO:0004362; GO:0005829; GO:0006749; GO:0016020; GO:0034599; GO:0045454; GO:0050660; GO:0050661; GO:0071949
P06721	METC_ECOLI	metC b3008 JW2975	395	4.4.1.13; 4.4.1.28	GO:0004121; GO:0005737; GO:0008784; GO:0009086; GO:0019346; GO:0019450; GO:0030170; GO:0032991; GO:0042802; GO:0047804; GO:0051289; GO:0080146
P06722	MUTH_ECOLI	mutH mutR prv b2831 JW2799	229		GO:0000018; GO:0003677; GO:0004519; GO:0005737; GO:0006298; GO:0006304; GO:0032300; GO:0043765
P06959	ODP2_ECOLI	aceF b0115 JW0111	630	2.3.1.12	GO:0004742; GO:0005737; GO:0006086; GO:0006090; GO:0006096; GO:0016407; GO:0031405; GO:0042867; GO:0045254
P06960	OTC2_ECOLI	argF b0273 JW0266	334	2.1.3.3	GO:0004585; GO:0005737; GO:0006974; GO:0016597; GO:0019240; GO:0042450; GO:0046872
P06961	CCA_ECOLI	cca b3056 JW3028	412	2.7.7.72; 3.1.3.-; 3.1.4.-	GO:0000049; GO:0000287; GO:0001680; GO:0004112; GO:0004810; GO:0005524; GO:0016791; GO:0042245; GO:0106354; GO:0160016
P06968	DUT_ECOLI	dut dnaS sof b3640 JW3615	152	3.6.1.23	GO:0000287; GO:0004170; GO:0005829; GO:0006226; GO:0032991; GO:0042802; GO:0046081; GO:0070207
P06971	FHUA_ECOLI	fhuA tonA b0150 JW0146	747		GO:0005506; GO:0006879; GO:0009279; GO:0015344; GO:0015643; GO:0016020; GO:0019904; GO:0038023; GO:0044718; GO:0046790; GO:1902495
P06972	FHUB_ECOLI	fhuB b0153 JW0149	660		GO:0005886; GO:0022857; GO:0033214; GO:0043190; GO:0055052; GO:0098711
P06974	FLIM_ECOLI	fliM cheC2 fla AII fla QII b1945 JW1929	334		GO:0003774; GO:0005886; GO:0006935; GO:0009288; GO:0009433; GO:0050918; GO:0071977; GO:0071978; GO:0120107
P06983	HEM3_ECOLI	hemC popE b3805 JW5932	313	2.5.1.61	GO:0004418; GO:0005737; GO:0005829; GO:0006782; GO:0006783; GO:0033014
P06988	HISX_ECOLI	hisD b2020 JW2002	434	1.1.1.23	GO:0000105; GO:0004399; GO:0005737; GO:0005829; GO:0008270; GO:0030145; GO:0046872; GO:0051287
P06992	RSMA_ECOLI	rsmA ksgA b0051 JW0050	273	2.1.1.182	GO:0000028; GO:0000179; GO:0003690; GO:0003729; GO:0005829; GO:0006364; GO:0030490; GO:0031167; GO:0043024; GO:0046677; GO:0052908; GO:0070475
P06993	MALT_ECOLI	malT malA b3418 JW3381	901		GO:0003677; GO:0003700; GO:0005524; GO:0005975; GO:0042802; GO:0045893; GO:0045913; GO:0048031
P06996	OMPC_ECOLI	ompC meoA par b2215 JW2203	367		GO:0001618; GO:0006974; GO:0009279; GO:0015288; GO:0034220; GO:0042802; GO:0046813; GO:0046872; GO:0046930
P06999	PFKB_ECOLI	pfkB b1723 JW5280	309	2.7.1.11	GO:0000287; GO:0003872; GO:0005524; GO:0005829; GO:0006096; GO:0006974; GO:0009024; GO:0042802; GO:0042803
P07001	PNTA_ECOLI	pntA b1603 JW1595	510	7.1.1.1	GO:0005886; GO:0006740; GO:0008746; GO:0008750; GO:0046983; GO:0050661; GO:0120029
P07003	POXB_ECOLI	poxB b0871 JW0855	572	1.2.5.1	GO:0000287; GO:0005829; GO:0005886; GO:0006090; GO:0008289; GO:0030976; GO:0032991; GO:0042802; GO:0042867; GO:0048039; GO:0050660; GO:0052737
P07004	PROA_ECOLI	proA b0243 JW0233	417	1.2.1.41	GO:0004350; GO:0005829; GO:0042802; GO:0050661; GO:0055129
P07012	RF2_ECOLI	prfB supK b2891 JW5847	365		GO:0005829; GO:0006415; GO:0016149
P07013	PRIB_ECOLI	priB b4201 JW4159	104		GO:0003697; GO:0006268; GO:0006269; GO:0006270; GO:0006276; GO:0009314; GO:0031297; GO:0042802; GO:1990077; GO:1990099; GO:1990158
P07014	SDHB_ECOLI	sdhB b0724 JW0714	238	1.3.5.1	GO:0005886; GO:0006099; GO:0008177; GO:0009055; GO:0009060; GO:0016020; GO:0019646; GO:0022904; GO:0045281; GO:0046872; GO:0051536; GO:0051537; GO:0051538; GO:0051539; GO:0102040
P07017	MCP2_ECOLI	tar cheM b1886 JW1875	553		GO:0004888; GO:0005886; GO:0006935; GO:0007165; GO:0007172; GO:0009593; GO:0042802; GO:0042803; GO:0043424; GO:0050920; GO:0051260; GO:0051286; GO:0071230; GO:0098561; GO:1901875
P07024	USHA_ECOLI	ushA b0480 JW0469	550	3.1.3.5; 3.6.1.45	GO:0000166; GO:0008253; GO:0008768; GO:0009166; GO:0030288; GO:0046872; GO:0106411
P07102	PPA_ECOLI	appA b0980 JW0963	432	3.1.3.-; 3.6.1.-	GO:0003924; GO:0003993; GO:0008252; GO:0008707; GO:0016036; GO:0016311; GO:0030288; GO:0050308; GO:0052745; GO:0071454
P07117	PUTP_ECOLI	putP b1015 JW1001	502		GO:0005298; GO:0005886; GO:0015193; GO:0015824; GO:0015912; GO:0031402; GO:0055085
P07118	SYV_ECOLI	valS b4258 JW4215	951	6.1.1.9	GO:0000287; GO:0002161; GO:0004832; GO:0005524; GO:0005829; GO:0006438; GO:0045903; GO:0061475
P07330	CHEB_ECOLI	cheB b1883 JW1872	349	3.1.1.61; 3.5.1.44	GO:0000156; GO:0005829; GO:0005886; GO:0006482; GO:0006935; GO:0007165; GO:0008984; GO:0018277; GO:0050568; GO:1990827
P07363	CHEA_ECOLI	cheA b1888 JW1877	654	2.7.13.3	GO:0000155; GO:0000160; GO:0004673; GO:0005524; GO:0005737; GO:0005829; GO:0005886; GO:0006935; GO:0007165; GO:0009454; GO:0016310; GO:0031400; GO:0043052; GO:0050920; GO:0051649; GO:0071977; GO:0098561; GO:1901875; GO:1902021
P07395	SYFB_ECOLI	pheT b1713 JW1703	795	6.1.1.20	GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005829; GO:0006432; GO:0009328; GO:0016020; GO:0042802
P07464	THGA_ECOLI	lacA b0342 JW0333	203	2.3.1.18	GO:0005737; GO:0005989; GO:0008870; GO:0042802
P07604	TYRR_ECOLI	tyrR b1323 JW1316	513		GO:0003677; GO:0005524; GO:0005829; GO:0006355; GO:0016887; GO:0019439; GO:0045892
P07623	METAS_ECOLI	metAS metA b4013 JW3973	309	2.3.1.46	GO:0004414; GO:0005737; GO:0008899; GO:0019281; GO:0042803
P07639	AROB_ECOLI	aroB b3389 JW3352	362	4.2.3.4	GO:0003856; GO:0005737; GO:0008270; GO:0008652; GO:0009073; GO:0009423; GO:0070403
