target,accession--target,query,accession--query,E-value,score,bias,E-value--best-domain,score--best-domain,bias--best-domain,exp,reg,clu,ov,env,dom,rep,inc,description
SAMN10080902_a1_ct73437_vs1_33,-,phage-family-interpro-v4,-,1.3e-196,662.4,3.3,1.5e-196,662.2,3.3,1.0,1,0,0,1,1,1,1,-
SAMN09781773_a1_ct191325_vs1_46,-,phage-family-interpro-v4,-,3.6e-196,661.0,1.6,4.4e-196,660.7,1.6,1.0,1,0,0,1,1,1,1,-
SRS077508_a1_ct67868_vs1_1,-,phage-family-interpro-v4,-,5.4e-196,660.4,0.0,6e-196,660.2,0.0,1.0,1,0,0,1,1,1,1,-
SRS014404_a1_ct9375_50,-,phage-family-interpro-v4,-,2.3e-195,658.3,0.0,2.6e-195,658.1,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080886_a1_ct4163_3,-,phage-family-interpro-v4,-,2.4e-195,658.2,0.3,2.7e-195,658.0,0.3,1.0,1,0,0,1,1,1,1,-
SRS054869_a1_ct9621_vs1_13,-,phage-family-interpro-v4,-,4e-195,657.5,0.6,4.9e-195,657.2,0.6,1.0,1,0,0,1,1,1,1,-
SRS022980_a1_ct53332_vs1_48,-,phage-family-interpro-v4,-,7.3e-195,656.6,0.0,8.2e-195,656.5,0.0,1.0,1,0,0,1,1,1,1,-
SRS019028_a1_ct91283_vs1_52,-,phage-family-interpro-v4,-,8.6e-195,656.4,0.0,9.6e-195,656.2,0.0,1.0,1,0,0,1,1,1,1,-
SRS148253_a1_ct115540_vs01_9,-,phage-family-interpro-v4,-,1.3e-194,655.8,0.2,1.6e-194,655.5,0.2,1.0,1,0,0,1,1,1,1,-
SAMN06164501_a1_ct44508_vs1_3,-,phage-family-interpro-v4,-,2.2e-194,655.0,6.1,2.6e-194,654.8,6.1,1.0,1,0,0,1,1,1,1,-
SRS053398_a1_ct89549_vs1_33,-,phage-family-interpro-v4,-,2.2e-194,655.0,5.2,2.7e-194,654.7,5.2,1.0,1,0,0,1,1,1,1,-
SAMN05826882_a1_ct3060_19,-,phage-family-interpro-v4,-,1.7e-192,648.8,0.0,1.9e-192,648.6,0.0,1.0,1,0,0,1,1,1,1,-
SAMN04571723_a1_ct137896_vs1_3,-,phage-family-interpro-v4,-,4.3e-192,647.4,1.0,5.3e-192,647.1,1.0,1.0,1,0,0,1,1,1,1,-
SAMN05826502_a1_ct5095_19,-,phage-family-interpro-v4,-,1.3e-191,645.9,3.3,1.5e-191,645.6,3.3,1.0,1,0,0,1,1,1,1,-
SAMEA2737792_a1_ct48967_vs1_30,-,phage-family-interpro-v4,-,1.5e-191,645.6,0.0,1.9e-191,645.3,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080915_a1_ct3565_36,-,phage-family-interpro-v4,-,1.7e-191,645.4,0.6,2.2e-191,645.1,0.6,1.1,1,0,0,1,1,1,1,-
SAMN11893693_a1_ct1632_41,-,phage-family-interpro-v4,-,2e-191,645.2,0.1,2.2e-191,645.1,0.1,1.0,1,0,0,1,1,1,1,-
SAMN04262467_a1_ct4897_vs1_8,-,phage-family-interpro-v4,-,3.6e-191,644.4,0.0,4.1e-191,644.2,0.0,1.0,1,0,0,1,1,1,1,-
SRS146764_a1_ct121475_vs01_30,-,phage-family-interpro-v4,-,1e-189,639.5,0.2,1.3e-189,639.2,0.2,1.0,1,0,0,1,1,1,1,-
SAMN10080904_a1_ct2294_20,-,phage-family-interpro-v4,-,1.2e-189,639.4,0.6,1.4e-189,639.1,0.6,1.0,1,0,0,1,1,1,1,-
SAMN04261275_a1_ct72709_vs1_1,-,phage-family-interpro-v4,-,1.5e-189,639.0,0.0,1.7e-189,638.8,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00792079_a1_ct12412_13,-,phage-family-interpro-v4,-,1.6e-189,638.9,0.1,2e-189,638.6,0.1,1.0,1,0,0,1,1,1,1,-
SAMN05826635_a1_ct2112_24,-,phage-family-interpro-v4,-,2.3e-189,638.4,0.0,2.6e-189,638.3,0.0,1.0,1,0,0,1,1,1,1,-
SAMN05414987_a1_ct7799_1,-,phage-family-interpro-v4,-,1.3e-186,629.3,3.3,1.7e-186,628.9,3.3,1.0,1,0,0,1,1,1,1,-
SAMN09781734_a1_ct1860_19,-,phage-family-interpro-v4,-,3.6e-185,624.5,6.0,4.2e-185,624.3,6.0,1.0,1,0,0,1,1,1,1,-
SRS144537_a1_ct38854_vs1_14,-,phage-family-interpro-v4,-,3.1e-184,621.4,0.4,3.5e-184,621.3,0.4,1.0,1,0,0,1,1,1,1,-
SAMN09781719_a1_ct152152_vs1_48,-,phage-family-interpro-v4,-,1.1e-183,619.6,0.7,1.2e-183,619.5,0.7,1.0,1,0,0,1,1,1,1,-
SAMEA2737745_b1_ct72_vs5_14,-,phage-family-interpro-v4,-,1.2e-183,619.5,0.7,1.3e-183,619.4,0.7,1.0,1,0,0,1,1,1,1,-
SAMN09781758_a1_ct1470_49,-,phage-family-interpro-v4,-,2.2e-183,618.6,0.5,2.7e-183,618.3,0.5,1.0,1,0,0,1,1,1,1,-
SAMN00792082_a1_ct26785_vs1_14,-,phage-family-interpro-v4,-,2.3e-183,618.6,0.9,2.6e-183,618.4,0.9,1.0,1,0,0,1,1,1,1,-
SAMN11031324_a1_ct6049_41,-,phage-family-interpro-v4,-,3.4e-183,618.0,0.8,3.8e-183,617.9,0.8,1.0,1,0,0,1,1,1,1,-
SRS144560_a1_ct7771_16,-,phage-family-interpro-v4,-,1.3e-181,612.7,1.9,1.5e-181,612.5,1.9,1.0,1,0,0,1,1,1,1,-
SAMN11031379_a1_ct2109_43,-,phage-family-interpro-v4,-,2.6e-181,611.8,1.6,2.9e-181,611.6,1.6,1.0,1,0,0,1,1,1,1,-
SRS018479_a1_ct24892_vs01_7,-,phage-family-interpro-v4,-,4.7e-181,610.9,0.0,5.2e-181,610.8,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA2580107_a1_ct32172_vs1_10,-,phage-family-interpro-v4,-,8e-181,610.1,2.9,9e-181,610.0,2.9,1.0,1,0,0,1,1,1,1,-
SRS104962_a1_ct64763_7,-,phage-family-interpro-v4,-,2e-180,608.8,1.7,2.2e-180,608.7,1.7,1.0,1,0,0,1,1,1,1,-
SAMEA1906581_a1_ct263490_vs1_14,-,phage-family-interpro-v4,-,2.5e-180,608.5,0.9,2.8e-180,608.3,0.9,1.0,1,0,0,1,1,1,1,-
SAMEA2580258_b1_ct1_42,-,phage-family-interpro-v4,-,2.8e-180,608.3,2.6,3.1e-180,608.2,2.6,1.0,1,0,0,1,1,1,1,-
SAMEA2738174_b1_ct1_17,-,phage-family-interpro-v4,-,4.4e-179,604.4,4.9,4.9e-179,604.2,4.9,1.0,1,0,0,1,1,1,1,-
SRS144124_a1_ct14791_vs01_8,-,phage-family-interpro-v4,-,6.6e-179,603.8,0.0,8.1e-179,603.5,0.0,1.0,1,0,0,1,1,1,1,-
SAMN05826545_a1_ct740_6,-,phage-family-interpro-v4,-,1.4e-177,599.4,5.8,1.7e-177,599.1,5.8,1.0,1,0,0,1,1,1,1,-
SAMN01041764_a1_ct4272_vs1_13,-,phage-family-interpro-v4,-,1.6e-176,595.9,4.5,1.8e-176,595.8,4.5,1.0,1,0,0,1,1,1,1,-
SRS147664_a1_ct12867_7,-,phage-family-interpro-v4,-,2.8e-175,591.8,2.0,3.1e-175,591.6,2.0,1.0,1,0,0,1,1,1,1,-
SAMEA2737792_a1_ct131944_vs1_31,-,phage-family-interpro-v4,-,3.5e-175,591.5,9.6,3.9e-175,591.3,9.6,1.0,1,0,0,1,1,1,1,-
SRS147149_a1_ct15502_16,-,phage-family-interpro-v4,-,1.6e-174,589.3,1.6,1.8e-174,589.1,1.6,1.0,1,0,0,1,1,1,1,-
SAMN05827247_a1_ct21657_vs1_6,-,phage-family-interpro-v4,-,2.6e-174,588.6,2.3,3.1e-174,588.3,2.3,1.0,1,0,0,1,1,1,1,-
SAMEA2737662_a1_ct153951_vs1_43,-,phage-family-interpro-v4,-,6.6e-174,587.3,0.0,7.9e-174,587.0,0.0,1.0,1,0,0,1,1,1,1,-
SAMN00792056_a1_ct16161_vs1_11,-,phage-family-interpro-v4,-,2.1e-173,585.6,0.2,2.5e-173,585.3,0.2,1.0,1,0,0,1,1,1,1,-
SAMN10080902_a1_ct1748_49,-,phage-family-interpro-v4,-,3.8e-173,584.7,0.3,4.5e-173,584.5,0.3,1.0,1,0,0,1,1,1,1,-
SRS050905_a1_ct4188_vs01_9,-,phage-family-interpro-v4,-,5.4e-173,584.2,0.3,6e-173,584.1,0.3,1.0,1,0,0,1,1,1,1,-
SRS017127_a1_ct24_vs1_47,-,phage-family-interpro-v4,-,3.3e-172,581.6,0.8,3.7e-172,581.5,0.8,1.0,1,0,0,1,1,1,1,-
SAMN09781782_a1_ct21317_vs1_14,-,phage-family-interpro-v4,-,3.3e-171,578.3,10.5,5.1e-171,577.7,10.4,1.3,1,1,0,1,1,1,1,-
SAMN11031281_a1_ct6733_40,-,phage-family-interpro-v4,-,4.6e-169,571.2,0.2,5.5e-169,571.0,0.2,1.0,1,0,0,1,1,1,1,-
SAMEA2737737_a1_ct58735_vs1_44,-,phage-family-interpro-v4,-,6.4e-169,570.7,0.0,7.7e-169,570.5,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10407347_a1_ct234504_vs1_16,-,phage-family-interpro-v4,-,2.6e-168,568.7,0.0,2.9e-168,568.6,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA2738163_b1_ct2_24,-,phage-family-interpro-v4,-,1.1e-167,566.6,2.2,1.4e-167,566.3,2.2,1.0,1,0,0,1,1,1,1,-
SAMN10080904_a1_ct2264_29,-,phage-family-interpro-v4,-,7.9e-164,553.9,0.0,8.8e-164,553.7,0.0,1.0,1,0,0,1,1,1,1,-
SRS019225_a1_ct2397_vs1_26,-,phage-family-interpro-v4,-,1.3e-160,543.2,0.0,1.5e-160,543.0,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080928_a1_ct35515_vs1_45,-,phage-family-interpro-v4,-,4.4e-159,538.2,0.0,5e-159,538.0,0.0,1.0,1,0,0,1,1,1,1,-
SRS023595_a1_ct19201_41,-,phage-family-interpro-v4,-,8.5e-159,537.2,0.0,9.5e-159,537.1,0.0,1.0,1,0,0,1,1,1,1,-
SAMN05414963_a1_ct3461_vs1_49,-,phage-family-interpro-v4,-,3.5e-158,535.2,0.0,3.9e-158,535.1,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080907_a1_ct2236_9,-,phage-family-interpro-v4,-,3.7e-157,531.8,0.0,4.5e-157,531.5,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080883_a1_ct24422_vs1_32,-,phage-family-interpro-v4,-,8.1e-156,527.4,0.0,1e-155,527.1,0.0,1.0,1,0,0,1,1,1,1,-
SAMN10080927_a1_ct1008_1,-,phage-family-interpro-v4,-,5.2e-145,491.6,0.0,5.9e-145,491.4,0.0,1.0,1,0,0,1,1,1,1,-
SRS015440_a1_ct20206_vs1_10,-,phage-family-interpro-v4,-,2.1e-137,466.4,0.0,2.3e-137,466.3,0.0,1.0,1,0,0,1,1,1,1,-
SRS015470_a1_ct26494_vs1_21,-,phage-family-interpro-v4,-,3.5e-105,359.7,0.0,4.1e-105,359.5,0.0,1.0,1,0,0,1,1,1,1,-
SAMEA2737798_b1_ct21_vs2_41,-,phage-family-interpro-v4,-,3.5e-98,336.6,1.3,4.2e-98,336.3,1.3,1.0,1,0,0,1,1,1,1,-
SAMEA2737798_b1_ct21_vs2_43,-,phage-family-interpro-v4,-,8e-87,299.0,0.0,1e-86,298.6,0.0,1.0,1,0,0,1,1,1,1,-
SRS015038_a1_ct65951_vs1_4,-,phage-family-interpro-v4,-,1.7e-72,251.5,1.8,2.6e-67,234.4,1.1,2.6,1,1,1,2,2,2,2,-
SRS015893_a1_ct13684_73,-,phage-family-interpro-v4,-,4.4e-72,250.2,2.7,8.5e-69,239.3,2.7,2.6,1,1,0,1,1,1,1,-
SRS023926_a1_ct9647_vs01_11,-,phage-family-interpro-v4,-,5.5e-72,249.9,0.5,1.1e-71,248.9,0.5,1.4,1,0,0,1,1,1,1,-
SRS019127_a1_ct12952_vs01_41,-,phage-family-interpro-v4,-,7.4e-72,249.4,2.1,1e-66,232.4,1.4,2.5,1,1,1,2,2,2,2,-
SRS021897_a1_ct33498_vs1_32,-,phage-family-interpro-v4,-,5.7e-70,243.2,2.6,3.8e-65,227.2,1.0,2.6,1,1,1,2,2,2,2,-
SRS019071_a1_ct28173_vs1_50,-,phage-family-interpro-v4,-,8.3e-70,242.7,1.3,2.9e-62,217.7,2.6,2.9,1,1,0,2,2,2,2,-
SAMN10080917_a1_ct30214_vs1_1,-,phage-family-interpro-v4,-,1.3e-68,238.7,0.0,1.4e-68,238.6,0.0,1.0,1,0,0,1,1,1,1,-
SRS062540_a1_ct10801_vs1_29,-,phage-family-interpro-v4,-,6.6e-68,236.4,2.0,3.8e-67,233.8,2.0,1.8,1,1,0,1,1,1,1,-
SRS018610_a1_ct10812_69,-,phage-family-interpro-v4,-,9.1e-68,235.9,4.0,5.7e-67,233.3,4.0,1.8,1,1,0,1,1,1,1,-
SRS015038_a1_ct15632_vs1_6,-,phage-family-interpro-v4,-,1.4e-65,228.6,6.4,2.1e-64,224.8,4.3,2.7,2,1,0,2,2,2,1,-
SRS077016_a1_ct14633_69,-,phage-family-interpro-v4,-,2e-65,228.2,7.0,2.1e-64,224.8,5.8,2.6,2,1,0,2,2,2,1,-
SRS058693_a1_ct30844_vs1_62,-,phage-family-interpro-v4,-,2.8e-65,227.7,3.5,1.6e-64,225.1,3.5,1.9,1,1,0,1,1,1,1,-
SRS011255_a1_ct21692_5,-,phage-family-interpro-v4,-,3.5e-65,227.4,1.4,9.8e-46,163.0,1.2,2.0,2,0,0,2,2,2,2,-
SRS017808_a1_ct34924_vs1_12,-,phage-family-interpro-v4,-,4.4e-65,227.0,5.2,3.1e-64,224.2,5.2,1.9,1,1,0,1,1,1,1,-
SRS043083_a1_ct7773_5,-,phage-family-interpro-v4,-,7.3e-65,226.3,1.2,3e-63,221.0,1.2,2.2,1,1,0,1,1,1,1,-
SAMEA2737935_b1_ct4_6,-,phage-family-interpro-v4,-,1.5e-64,225.3,2.8,2.8e-62,217.7,2.8,2.1,1,1,0,1,1,1,1,-
