,ID,desc,cosine,euclidean
4930,DAW00729.1 ,MAG TPA: DNA cytosine methyltransferase [Bacteriophage sp.],0.03949171304702759,1.9577258825302124
2410,DAV71143.1 ,MAG TPA: Protein recA [Bacteriophage sp.],0.04050779342651367,1.9590712785720825
2412,DAV71145.1 ,MAG TPA: Protein recA [Bacteriophage sp.],0.04050767421722412,1.959071397781372
3877,DAV83998.1 ,MAG TPA: PD-(D/E)XK nuclease superfamily protein [Bacteriophage sp.],0.04271042346954346,1.960242509841919
1876,DAV64145.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.04237312078475952,1.9634987115859985
1080,DAV42923.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.039149701595306396,1.9667311906814575
768,DAV39792.1 ,MAG TPA: Helicase of the snf2 rad54 family [Bacteriophage sp.],0.04300391674041748,1.969630241394043
1383,DAV51157.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03341031074523926,1.9766535758972168
4021,DAV85260.1 ,MAG TPA: large terminase protein [Bacteriophage sp.],0.03198087215423584,1.9768052101135254
2235,DAV68581.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.040022194385528564,1.9801206588745117
4466,DAV94279.1 ,MAG TPA: DNA adenine methylase [Bacteriophage sp.],0.036784470081329346,1.9820234775543213
1576,DAV56362.1 ,MAG TPA: DNA TRANSLOCASE FTSK [Bacteriophage sp.],0.04346895217895508,1.9965910911560059
4863,DAV99693.1 ,MAG TPA: Chromatin remodeling complex ATPase [Bacteriophage sp.],0.03922659158706665,2.0015006065368652
2292,DAV69383.1 ,MAG TPA: site specific tyrosine recombinase [Bacteriophage sp.],0.040019452571868896,2.003265380859375
2066,DAV66271.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.03766351938247681,2.005006790161133
4517,DAV95016.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03310900926589966,2.0139923095703125
2051,DAV66256.1 ,MAG TPA: Methyltransferase domain [Bacteriophage sp.],0.039730072021484375,2.022665500640869
2544,DAV73290.1 ,MAG TPA: integrase [Bacteriophage sp.],0.04373800754547119,2.023725986480713
77,DAV29649.1 ,MAG TPA: ATPase [Bacteriophage sp.],0.04097217321395874,2.026634931564331
21,DAV29242.1 ,MAG TPA: integrase [Bacteriophage sp.],0.04560357332229614,2.0324134826660156
2290,DAV69381.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.0436592698097229,2.032672643661499
3512,DAV79619.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.033465564250946045,2.0370280742645264
3876,DAV83997.1 ,"MAG TPA: adenine specific DNA methyltransferase, partial [Bacteriophage sp.]",0.04527699947357178,2.0541210174560547
3874,DAV83995.1 ,MAG TPA: dsDNA helicase [Bacteriophage sp.],0.04280102252960205,2.0557498931884766
4209,DAV90168.1 ,MAG TPA: CRE RECOMBINASE [Bacteriophage sp.],0.0469701886177063,2.0568318367004395
1892,DAV64161.1 ,MAG TPA: Terminase large subunit [Bacteriophage sp.],0.03707832098007202,2.0592010021209717
2196,DAV68165.1 ,MAG TPA: large terminase [Bacteriophage sp.],0.0413554310798645,2.060614824295044
2232,DAV68578.1 ,MAG TPA: DNA directed RNA polymerase [Bacteriophage sp.],0.027665436267852783,2.0642762184143066
4917,DAW00716.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03356856107711792,2.066338300704956
2311,DAV69402.1 ,MAG TPA: 3'-5' exoribonuclease [Bacteriophage sp.],0.03697782754898071,2.0670325756073
4022,DAV85261.1 ,MAG TPA: terminase small subunit [Bacteriophage sp.],0.038974106311798096,2.06823992729187
1749,DAV58959.1 ,MAG TPA: phosphoadenosine-phosphosulfate reductase [Bacteriophage sp.],0.035323381423950195,2.074556589126587
3678,DAV81965.1 ,MAG TPA: ISXO2-like transposase domain [Bacteriophage sp.],0.04022204875946045,2.0761232376098633
4189,DAV90148.1 ,MAG TPA: Methyltransferase domain [Bacteriophage sp.],0.044910728931427,2.076460123062134
1741,DAV58951.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03398394584655762,2.0811150074005127
2559,DAV73305.1 ,MAG TPA: ATP dependent DNA helicase [Bacteriophage sp.],0.041788697242736816,2.0841386318206787
2049,DAV66254.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.045857906341552734,2.091642141342163
1577,DAV56363.1 ,MAG TPA: site specific tyrosine recombinase [Bacteriophage sp.],0.04569602012634277,2.096607208251953
4214,DAV90173.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.04800748825073242,2.097097396850586
4212,DAV90171.1 ,MAG TPA: Repressor protein CI [Bacteriophage sp.],0.04729217290878296,2.1025872230529785
3994,DAV84925.1 ,MAG TPA: protein of unknown function (DUF4406) [Bacteriophage sp.],0.04155939817428589,2.109856605529785
793,DAV39817.1 ,MAG TPA: putative terminase small subunit [Bacteriophage sp.],0.039674460887908936,2.1112160682678223
4847,DAV99677.1 ,MAG TPA: Protein of unknown function DUF262 [Bacteriophage sp.],0.047822773456573486,2.1162922382354736
1523,DAV53219.1 ,"MAG TPA: tail protein, partial [Bacteriophage sp.]",0.041448891162872314,2.12223482131958
4014,DAV85253.1 ,MAG TPA: ERF superfamily protein [Bacteriophage sp.],0.04128694534301758,2.1290957927703857
75,DAV29647.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.04290264844894409,2.130237340927124
2399,DAV71132.1 ,MAG TPA: rhamnulose-1-phosphate aldolase [Bacteriophage sp.],0.04493844509124756,2.133793830871582
2383,DAV71116.1 ,MAG TPA: rhamnulose-1-phosphate aldolase [Bacteriophage sp.],0.044938504695892334,2.133794069290161
716,DAV39567.1 ,MAG TPA: D12 class N6 adenine specific DNA methyltransferase [Bacteriophage sp.],0.04485505819320679,2.1348025798797607
2411,DAV71144.1 ,MAG TPA: DNA topoisomerase 2 alpha [Bacteriophage sp.],0.036573588848114014,2.135540008544922
2409,DAV71142.1 ,MAG TPA: DNA topoisomerase 2 alpha [Bacteriophage sp.],0.03657364845275879,2.135540246963501
4862,DAV99692.1 ,MAG TPA: Replicative helicase [Bacteriophage sp.],0.048551321029663086,2.1356279850006104
1970,DAV64811.1 ,MAG TPA: Large Terminase [Bacteriophage sp.],0.051144421100616455,2.139289140701294
1752,DAV58962.1 ,MAG TPA: Cytosine specific methyltransferase [Bacteriophage sp.],0.04341214895248413,2.1453325748443604
49,DAV29270.1 ,MAG TPA: DNA repair protein-like protein [Bacteriophage sp.],0.039065659046173096,2.147401809692383
1384,DAV51158.1 ,MAG TPA: HOLLIDAY JUNCTION RESOLVASE HOMOLOGOUS RECOMBINATION [Bacteriophage sp.],0.03971678018569946,2.148214340209961
1544,DAV56330.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.05161118507385254,2.148564100265503
4873,DAV99703.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.04727590084075928,2.150568723678589
775,DAV39799.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.04642552137374878,2.1514718532562256
3016,DAV73824.1 ,MAG TPA: DNA polymerase [Bacteriophage sp.],0.029393434524536133,2.152377128601074
3915,DAV84336.1 ,MAG TPA: Large Terminase [Bacteriophage sp.],0.047737717628479004,2.1534249782562256
382,DAV36189.1 ,MAG TPA: replisome organizer [Bacteriophage sp.],0.04238408803939819,2.153823137283325
712,DAV39563.1 ,MAG TPA: 5-methylcytosine-specific restriction enzyme subunit [Bacteriophage sp.],0.05056244134902954,2.157400131225586
549,DAV37695.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.04463040828704834,2.158285140991211
856,DAV41676.1 ,MAG TPA: RNA ligase [Bacteriophage sp.],0.037857651710510254,2.1613988876342773
4460,DAV94273.1 ,MAG TPA: RNaseH [Bacteriophage sp.],0.052298009395599365,2.162853717803955
196,DAV35345.1 ,MAG TPA: DEDDh [Bacteriophage sp.],0.03621828556060791,2.162917375564575
1061,DAV42904.1 ,MAG TPA: ERF superfamily protein [Bacteriophage sp.],0.040691077709198,2.163986921310425
3758,DAV83363.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.04762852191925049,2.167074203491211
769,DAV39793.1 ,MAG TPA: replicative DNA helicase [Bacteriophage sp.],0.04196298122406006,2.1672403812408447
4289,DAV92245.1 ,MAG TPA: Methyltransferase domain [Bacteriophage sp.],0.03782743215560913,2.1733686923980713
2377,DAV71110.1 ,MAG TPA: Saccharopine dehydrogenase [Bacteriophage sp.],0.052866339683532715,2.173557996749878
2398,DAV71131.1 ,MAG TPA: Saccharopine dehydrogenase [Bacteriophage sp.],0.052866339683532715,2.173557996749878
3414,DAV77894.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03653687238693237,2.1740896701812744
692,DAV39091.1 ,MAG TPA: tail assembly protein [Bacteriophage sp.],0.045919835567474365,2.1742966175079346
4451,DAV94264.1 ,MAG TPA: Terminase large subunit [Bacteriophage sp.],0.051380693912506104,2.1754701137542725
1884,DAV64153.1 ,MAG TPA: putative glutamine amidotransferase [Bacteriophage sp.],0.04690021276473999,2.1763675212860107
11,DAV29232.1 ,MAG TPA: portal protein [Bacteriophage sp.],0.0384555459022522,2.182040214538574
2016,DAV65606.1 ,MAG TPA: large terminase [Bacteriophage sp.],0.05329054594039917,2.1839699745178223
2279,DAV69370.1 ,MAG TPA: Protein of unknown function (DUF5131) [Bacteriophage sp.],0.04103618860244751,2.1870219707489014
1552,DAV56338.1 ,MAG TPA: DNA polymerase III PolC [Bacteriophage sp.],0.03559798002243042,2.1883158683776855
1947,DAV64216.1 ,MAG TPA: deoxyribosyltransferase [Bacteriophage sp.],0.03861302137374878,2.1884288787841797
2297,DAV69388.1 ,MAG TPA: Cytosine specific methyltransferase [Bacteriophage sp.],0.0455855131149292,2.1885576248168945
767,DAV39791.1 ,MAG TPA: large terminase [Bacteriophage sp.],0.04064255952835083,2.18912410736084
3951,DAV84882.1 ,MAG TPA: portal protein [Bacteriophage sp.],0.040028393268585205,2.1901776790618896
4675,DAV98694.1 ,"MAG TPA: ribonucleoside-diphosphate reductase, adenosylcobalamin-dependent [Bacteriophage sp.]",0.037690043449401855,2.191469192504883
1558,DAV56344.1 ,MAG TPA: RNAseH-like protein [Bacteriophage sp.],0.04380643367767334,2.1928162574768066
542,DAV37688.1 ,MAG TPA: antirepressor protein [Bacteriophage sp.],0.03846818208694458,2.1931159496307373
336,DAV35546.1 ,MAG TPA: integrase [Bacteriophage sp.],0.053672611713409424,2.1942648887634277
1881,DAV64150.1 ,MAG TPA: ERF superfamily protein [Bacteriophage sp.],0.04026669263839722,2.1971137523651123
207,DAV35356.1 ,MAG TPA: RNAseH-like protein [Bacteriophage sp.],0.04498004913330078,2.1984782218933105
1198,DAV45802.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03645777702331543,2.198917865753174
2075,DAV66280.1 ,MAG TPA: repressor domain protein [Bacteriophage sp.],0.04345220327377319,2.2000694274902344
1203,DAV45807.1 ,MAG TPA: adenine-specific methyltransferase [Bacteriophage sp.],0.05102044343948364,2.2005763053894043
3333,DAV77726.1 ,MAG TPA: Large Terminase [Bacteriophage sp.],0.04467505216598511,2.2007336616516113
2217,DAV68563.1 ,MAG TPA: Head to tail joining protein [Bacteriophage sp.],0.050405263900756836,2.201197862625122
2496,DAV73242.1 ,"MAG TPA: DNA polymerase III, alpha subunit [Bacteriophage sp.]",0.04182392358779907,2.205551862716675
870,DAV41690.1 ,MAG TPA: Type I restriction enzyme [Bacteriophage sp.],0.04551142454147339,2.20945143699646
1858,DAV62031.1 ,"MAG TPA: Portal protein, portal protein, bacteriophage, transport.9A, partial [Bacteriophage sp.]",0.05030620098114014,2.215073823928833
1547,DAV56333.1 ,MAG TPA: RuvC [Bacteriophage sp.],0.04223257303237915,2.2159101963043213
1209,DAV45813.1 ,MAG TPA: repressor domain protein [Bacteriophage sp.],0.04300028085708618,2.2178304195404053
1158,DAV45222.1 ,"MAG TPA: Integrase, partial [Bacteriophage sp.]",0.04001826047897339,2.2178707122802734
3756,DAV83361.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03765171766281128,2.2181472778320312
1895,DAV64164.1 ,MAG TPA: replicative helicase [Bacteriophage sp.],0.042054712772369385,2.218175172805786
126,DAV33596.1 ,MAG TPA: Terminase [Bacteriophage sp.],0.03757274150848389,2.218722105026245
4182,DAV90141.1 ,MAG TPA: MPN family protein [Bacteriophage sp.],0.04917335510253906,2.2222447395324707
1747,DAV58957.1 ,MAG TPA: RecT protein [Bacteriophage sp.],0.044696152210235596,2.223285675048828
4204,DAV90163.1 ,MAG TPA: Primosomal protein 1 [Bacteriophage sp.],0.04475122690200806,2.2234690189361572
2358,DAV69449.1 ,"MAG TPA: L-lysine 2,3-aminomutase [Bacteriophage sp.]",0.04174286127090454,2.223682403564453
4168,DAV89692.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.04450559616088867,2.226072311401367
1897,DAV64166.1 ,MAG TPA: Endodeoxyribonuclease RusA [Bacteriophage sp.],0.0414658784866333,2.2275633811950684
2558,DAV73304.1 ,MAG TPA: DNA ligase [Bacteriophage sp.],0.051143765449523926,2.231384754180908
4458,DAV94271.1 ,MAG TPA: Putative ATP dependent Clp protease [Bacteriophage sp.],0.05011427402496338,2.2358367443084717
1738,DAV58948.1 ,MAG TPA: YycJ-like MBL-fold protein [Bacteriophage sp.],0.050492286682128906,2.236299514770508
1119,DAV42962.1 ,MAG TPA: replisome organizer [Bacteriophage sp.],0.05355793237686157,2.237969398498535
3580,DAV80517.1 ,MAG TPA: major capsid protein [Bacteriophage sp.],0.048319876194000244,2.2414989471435547
91,DAV29663.1 ,"MAG TPA: tail protein, partial [Bacteriophage sp.]",0.043367207050323486,2.2433786392211914
1574,DAV56360.1 ,MAG TPA: adenine-specific methyltransferase [Bacteriophage sp.],0.04909563064575195,2.243734121322632
2545,DAV73291.1 ,MAG TPA: AAA domain protein [Bacteriophage sp.],0.03602653741836548,2.243786573410034
3582,DAV80519.1 ,MAG TPA: NinG recombination protein [Bacteriophage sp.],0.040139853954315186,2.2456817626953125
3950,DAV84881.1 ,MAG TPA: large terminase [Bacteriophage sp.],0.040406227111816406,2.2466728687286377
2353,DAV69444.1 ,MAG TPA: nucleotidase 5'-nucleotidase [Bacteriophage sp.],0.03676086664199829,2.2482972145080566
4450,DAV94263.1 ,MAG TPA: portal protein [Bacteriophage sp.],0.05474281311035156,2.249614715576172
4607,DAV97236.1 ,MAG TPA: portal protein [Bacteriophage sp.],0.04483515024185181,2.2502527236938477
4459,DAV94272.1 ,MAG TPA: HNH endonuclease [Bacteriophage sp.],0.04871475696563721,2.2503156661987305
3743,DAV83348.1 ,MAG TPA: YycJ-like MBL-fold protein [Bacteriophage sp.],0.050390660762786865,2.2516896724700928
3584,DAV80521.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.04889577627182007,2.2531697750091553
766,DAV39790.1 ,MAG TPA: portal protein [Bacteriophage sp.],0.04093891382217407,2.255182981491089
2400,DAV71133.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.046693623065948486,2.255300521850586
2382,DAV71115.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.046693623065948486,2.255300521850586
1358,DAV51041.1 ,MAG TPA: MobA MobL family protein [Bacteriophage sp.],0.05013155937194824,2.2572600841522217
1971,DAV64812.1 ,MAG TPA: PORTAL PROTEIN [Bacteriophage sp.],0.048456430435180664,2.257758378982544
3026,DAV73834.1 ,MAG TPA: DNA primase [Bacteriophage sp.],0.03932487964630127,2.258014678955078
3961,DAV84892.1 ,MAG TPA: Endodeoxyribonuclease RusA [Bacteriophage sp.],0.043411195278167725,2.2596449851989746
1877,DAV64146.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.03704392910003662,2.2597601413726807
2063,DAV66268.1 ,MAG TPA: RecT protein [Bacteriophage sp.],0.0448378324508667,2.26129150390625
1578,DAV56364.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.044185519218444824,2.2627792358398438
333,DAV35543.1 ,"MAG TPA: major capsid protein, partial [Bacteriophage sp.]",0.05388444662094116,2.2628393173217773
1967,DAV64808.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.05089449882507324,2.2638111114501953
772,DAV39796.1 ,MAG TPA: DNA helix destabilizing protein [Bacteriophage sp.],0.04437810182571411,2.2660622596740723
3406,DAV77886.1 ,MAG TPA: antirepressor [Bacteriophage sp.],0.04396158456802368,2.2669684886932373
3336,DAV77729.1 ,MAG TPA: lysin [Bacteriophage sp.],0.04562199115753174,2.2695388793945312
3330,DAV77723.1 ,MAG TPA: tail protein [Bacteriophage sp.],0.041710495948791504,2.2744383811950684
3587,DAV80524.1 ,MAG TPA: Putative ATP dependent Clp protease [Bacteriophage sp.],0.04510682821273804,2.276211977005005
3949,DAV84880.1 ,MAG TPA: Terminase small subunit [Bacteriophage sp.],0.04111236333847046,2.276578664779663
550,DAV37696.1 ,MAG TPA: Endonuclease [Bacteriophage sp.],0.042851924896240234,2.27699875831604
4864,DAV99694.1 ,MAG TPA: SITE SPECIFIC RECOMBINASE XERD [Bacteriophage sp.],0.058173418045043945,2.280614137649536
2403,DAV71136.1 ,MAG TPA: ADP-ribosylglycohydrolase [Bacteriophage sp.],0.0518956184387207,2.2806637287139893
2404,DAV71137.1 ,MAG TPA: ADP-ribosylglycohydrolase [Bacteriophage sp.],0.0518956184387207,2.2806637287139893
4610,DAV97239.1 ,MAG TPA: Dna polymerase B [Bacteriophage sp.],0.05123168230056763,2.285169839859009
4912,DAW00711.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.057408154010772705,2.2857117652893066
12,DAV29233.1 ,MAG TPA: large terminase [Bacteriophage sp.],0.04203420877456665,2.285884380340576
4674,DAV98693.1 ,MAG TPA: antirepressor protein [Bacteriophage sp.],0.04705888032913208,2.285889148712158
3878,DAV83999.1 ,MAG TPA: HNH endonuclease [Bacteriophage sp.],0.05147194862365723,2.28613018989563
1354,DAV51037.1 ,MAG TPA: Dna polymerase B [Bacteriophage sp.],0.04970216751098633,2.2863519191741943
1410,DAV51184.1 ,MAG TPA: exonuclease [Bacteriophage sp.],0.03660315275192261,2.2868878841400146
1757,DAV58967.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.04939603805541992,2.2869951725006104
3027,DAV73835.1 ,MAG TPA: AAA domain protein [Bacteriophage sp.],0.035354018211364746,2.2872440814971924
13,DAV29234.1 ,MAG TPA: Terminase small subunit [Bacteriophage sp.],0.04456537961959839,2.2891640663146973
384,DAV36191.1 ,MAG TPA: Endodeoxyribonuclease RusA [Bacteriophage sp.],0.04414486885070801,2.2894773483276367
4922,DAW00721.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.05640381574630737,2.2903738021850586
1569,DAV56355.1 ,MAG TPA: DnaB-like replicative helicase [Bacteriophage sp.],0.03831028938293457,2.290802478790283
3714,DAV82264.1 ,MAG TPA: DNA polymerase B [Bacteriophage sp.],0.03279602527618408,2.2927699089050293
522,DAV37473.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.043350398540496826,2.2940149307250977
1160,DAV45224.1 ,MAG TPA: tail protein [Bacteriophage sp.],0.041897475719451904,2.294072151184082
540,DAV37686.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.05067688226699829,2.2944228649139404
2528,DAV73274.1 ,MAG TPA: AAA domain protein [Bacteriophage sp.],0.043504416942596436,2.2945356369018555
3885,DAV84006.1 ,MAG TPA: deoxyribosyltransferase [Bacteriophage sp.],0.04820162057876587,2.2953271865844727
612,DAV37758.1 ,MAG TPA: DNA polymerase II small subunit [Bacteriophage sp.],0.03534960746765137,2.295640230178833
3952,DAV84883.1 ,MAG TPA: minor capsid protein [Bacteriophage sp.],0.05086582899093628,2.3025355339050293
1750,DAV58960.1 ,MAG TPA: integrase serine recombinase [Bacteriophage sp.],0.049647748470306396,2.304064989089966
1702,DAV56488.1 ,MAG TPA: Nucleotidyltransferase [Bacteriophage sp.],0.04703044891357422,2.3050432205200195
4121,DAV89405.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.0517960786819458,2.3055999279022217
4909,DAW00708.1 ,MAG TPA: helix-turn-helix domain protein [Bacteriophage sp.],0.05671274662017822,2.306209087371826
2385,DAV71118.1 ,MAG TPA: glycyl-tRNA synthetase [Bacteriophage sp.],0.04983013868331909,2.3064277172088623
2394,DAV71127.1 ,MAG TPA: glycyl-tRNA synthetase [Bacteriophage sp.],0.04983013868331909,2.3064277172088623
3513,DAV79620.1 ,MAG TPA: Portal [Bacteriophage sp.],0.04287618398666382,2.307681083679199
548,DAV37694.1 ,MAG TPA: site specific tyrosine recombinase [Bacteriophage sp.],0.04307049512863159,2.3082001209259033
4468,DAV94281.1 ,MAG TPA: protein of unknown function DUF1424 [Bacteriophage sp.],0.04734998941421509,2.308243751525879
1077,DAV42920.1 ,MAG TPA: Endodeoxyribonuclease RusA [Bacteriophage sp.],0.04503363370895386,2.3082804679870605
4594,DAV97223.1 ,"MAG TPA: helix-turn-helix domain protein, partial [Bacteriophage sp.]",0.05518442392349243,2.3087522983551025
4872,DAV99702.1 ,MAG TPA: Cytosine specific methyltransferase [Bacteriophage sp.],0.05932408571243286,2.308990716934204
2301,DAV69392.1 ,MAG TPA: Repressor protein CI [Bacteriophage sp.],0.05971705913543701,2.310201644897461
245,DAV35394.1 ,MAG TPA: Nucleotidyltransferase [Bacteriophage sp.],0.046721041202545166,2.310976028442383
3502,DAV78302.1 ,MAG TPA: portal protein [Bacteriophage sp.],0.053551316261291504,2.31129789352417
2549,DAV73295.1 ,MAG TPA: homing endonuclease [Bacteriophage sp.],0.04617542028427124,2.3133862018585205
1551,DAV56337.1 ,"MAG TPA: DNA polymerase III, alpha subunit [Bacteriophage sp.]",0.0467606782913208,2.3147096633911133
2295,DAV69386.1 ,MAG TPA: nucleoside triphosphate pyrophosphohydrolase [Bacteriophage sp.],0.046651363372802734,2.315354585647583
3879,DAV84000.1 ,MAG TPA: Chromatin remodeling complex ATPase [Bacteriophage sp.],0.0590059757232666,2.315708875656128
3757,DAV83362.1 ,"MAG TPA: phosphoadenosine-phosphosulfate reductase, partial [Bacteriophage sp.]",0.04317265748977661,2.3160181045532227
4024,DAV85263.1 ,MAG TPA: endonuclease [Bacteriophage sp.],0.060106515884399414,2.3173439502716064
747,DAV39771.1 ,MAG TPA: antirepressor protein [Bacteriophage sp.],0.05845886468887329,2.317561149597168
4609,DAV97238.1 ,MAG TPA: Replicative helicase [Bacteriophage sp.],0.04161512851715088,2.3187005519866943
4197,DAV90156.1 ,MAG TPA: prohead serine protease [Bacteriophage sp.],0.050816476345062256,2.3189332485198975
4906,DAW00705.1 ,MAG TPA: NTP-PPase-like protein [Bacteriophage sp.],0.04401057958602905,2.3211543560028076
1353,DAV51036.1 ,MAG TPA: Replicative helicase [Bacteriophage sp.],0.045648932456970215,2.3217933177948
1524,DAV53220.1 ,MAG TPA: repressor domain protein [Bacteriophage sp.],0.056653738021850586,2.32308292388916
1074,DAV42917.1 ,MAG TPA: DNA packaging protein gp3 [Bacteriophage sp.],0.042317330837249756,2.32334303855896
4392,DAV92994.1 ,MAG TPA: Integrase [Bacteriophage sp.],0.046821653842926025,2.3233656883239746
4200,DAV90159.1 ,MAG TPA: Large Terminase [Bacteriophage sp.],0.06042921543121338,2.323514223098755
3408,DAV77888.1 ,MAG TPA: NTP-PPase-like protein [Bacteriophage sp.],0.04296821355819702,2.323971748352051
823,DAV41020.1 ,MAG TPA: diaminopimelate dehydrogenase [Bacteriophage sp.],0.04522550106048584,2.325458526611328
750,DAV39774.1 ,MAG TPA: hypothetical protein [Bacteriophage sp.],0.05313551425933838,2.3259739875793457
198,DAV35347.1 ,MAG TPA: metallophosphatase domain protein [Bacteriophage sp.],0.05667048692703247,2.3278677463531494
2530,DAV73276.1 ,MAG TPA: replicative helicase [Bacteriophage sp.],0.038271427154541016,2.330249309539795
539,DAV37685.1 ,MAG TPA: PhoH-like protein [Bacteriophage sp.],0.03995966911315918,2.330364942550659
4455,DAV94268.1 ,MAG TPA: Reverse transcriptase [Bacteriophage sp.],0.058579862117767334,2.3304638862609863
3948,DAV84879.1 ,MAG TPA: ERF superfamily protein [Bacteriophage sp.],0.04123961925506592,2.3305399417877197
2023,DAV65613.1 ,MAG TPA: Endodeoxyribonuclease RusA [Bacteriophage sp.],0.04844087362289429,2.3326849937438965
4391,DAV92993.1 ,MAG TPA: Terminase large subunit [Bacteriophage sp.],0.038433730602264404,2.335540533065796
2213,DAV68559.1 ,MAG TPA: NTP-PPase-like protein [Bacteriophage sp.],0.042697906494140625,2.3383936882019043
